zipcode,latitude,longitude,area
81000,42.442574,19.268646,Podgorica
81101,42.442574,19.268646,Podgorica 1
81102,42.442574,19.268646,Podgorica 2
81103,42.442574,19.268646,Podgorica 3
81104,42.442574,19.268646,Podgorica 4
81105,42.442574,19.268646,Podgorica 5
81106,42.442574,19.268646,Podgorica 6
81107,42.442574,19.268646,Podgorica 7
81108,42.442574,19.268646,Podgorica 8
81109,42.442574,19.268646,Podgorica 9
81110,42.442574,19.268646,Podgorica 10
81111,42.442574,19.268646,Podgorica 11
81112,42.442574,19.268646,Podgorica 12
81113,42.442574,19.268646,Podgorica 13
81114,42.442574,19.268646,Podgorica 14
81115,42.442574,19.268646,Podgorica 15
81204,42.442574,19.268646,Lijeva Rijeka
82205,42.442574,19.268646,Ubli
81206,42.442574,19.268646,Tuzi
81214,42.442574,19.268646,Bioče
81304,42.442574,19.268646,Golubovci
81210,42.442574,19.268646,Kolašin
81215,42.442574,19.268646,Manastir Morača
81216,42.442574,19.268646,Dragovića Polje
81217,42.442574,19.268646,Mateševo
81410,42.442574,19.268646,Danilovgrad
81412,42.442574,19.268646,Spuž
81415,42.442574,19.268646,Slap na Zeti
81416,42.442574,19.268646,Glava Zete
81305,42.442574,19.268646,Virpazar
81250,42.442574,19.268646,Cetinje
81253,42.442574,19.268646,Rijeka Crnojevića
81254,42.442574,19.268646,Ljubotinj
81255,42.442574,19.268646,Njeguši
81257,42.442574,19.268646,Ćeklići
81258,42.442574,19.268646,Čevo
81259,42.442574,19.268646,Bata
81260,42.442574,19.268646,Trešnjevo
81400,42.442574,19.268646,Nikšić
81402,42.442574,19.268646,Nikšić 2
81403,42.442574,19.268646,Nikšić 3
81404,42.442574,19.268646,Kočani
81405,42.442574,19.268646,Kličevo
81417,42.442574,19.268646,Bogetići
81418,42.442574,19.268646,Miolje Polje (Župa Nikšićka)
81420,42.442574,19.268646,Grahovo
81421,42.442574,19.268646,Trubjela
81422,42.442574,19.268646,Krstac
81423,42.442574,19.268646,Vulusi
81425,42.442574,19.268646,Petrovići
81426,42.442574,19.268646,Vraćenovići
81427,42.442574,19.268646,Donje Crkvice
81428,42.442574,19.268646,Velimlje
81431,42.442574,19.268646,Vidrovan
81435,42.442574,19.268646,Plužine
81432,42.442574,19.268646,Donja Brezna
81437,42.442574,19.268646,Trsa
81450,42.442574,19.268646,Šavnik
81453,42.442574,19.268646,Gornja Bukovica
81455,42.442574,19.268646,Boan
84300,42.442574,19.268646,Berane
84306,42.442574,19.268646,Lubnice
84312,42.442574,19.268646,Petnjica
84320,42.442574,19.268646,Andrijevica
84322,42.442574,19.268646,Trepča
84325,42.442574,19.268646,Plav
84323,42.442574,19.268646,Murino
84326,42.442574,19.268646,Gusinje
84000,42.442574,19.268646,Bijelo Polje
84202,42.442574,19.268646,Bijelo Polje
84212,42.442574,19.268646,Tomaševo
84213,42.442574,19.268646,Pavino Polje
84303,42.442574,19.268646,Zaton
84305,42.442574,19.268646,Lozna
84205,42.442574,19.268646,Mojkovac
84206,42.442574,19.268646,Bistrica
84220,42.442574,19.268646,Žabljak
84224,42.442574,19.268646,Njegovuđa
84210,42.442574,19.268646,Pljevlja
84211,42.442574,19.268646,Pljevlja
84214,42.442574,19.268646,Vrulja
84215,42.442574,19.268646,Gradac
84216,42.442574,19.268646,Kovačevići
84217,42.442574,19.268646,Boljanići
84218,42.442574,19.268646,Šula
84219,42.442574,19.268646,Odžak
84223,42.442574,19.268646,Kosanica
84310,42.442574,19.268646,Rožaje
84311,42.442574,19.268646,Skarepača
84314,42.442574,19.268646,Bać
84315,42.442574,19.268646,Biševo
85000,42.442574,19.268646,Bar
85306,42.442574,19.268646,Ostros
85351,42.442574,19.268646,Bar - Gat V
85353,42.442574,19.268646,Čeluga
85354,42.442574,19.268646,Stari Bar
85355,42.442574,19.268646,Sutomore
85356,42.442574,19.268646,Pečurice
85357,42.442574,19.268646,Čanj
85358,42.442574,19.268646,Veliki Pijesak
85359,42.442574,19.268646,Uvala Maslina
85310,42.442574,19.268646,Budva
85300,42.442574,19.268646,Petrovac
85311,42.442574,19.268646,Budva 2
85312,42.442574,19.268646,Budva (Merkur)
85314,42.442574,19.268646,Perazića Do
85315,42.442574,19.268646,Sveti Stefan
85316,42.442574,19.268646,Bečići
85317,42.442574,19.268646,Lastva Grbaljska
85352,42.442574,19.268646,Buljarica
85320,42.442574,19.268646,Tivat
85323,42.442574,19.268646,Radovići
85332,42.442574,19.268646,Donja Lastva
85333,42.442574,19.268646,Lepetane
85330,42.442574,19.268646,Kotor
85318,42.442574,19.268646,Radanovići
85331,42.442574,19.268646,Dobrota
85334,42.442574,19.268646,Stoliv
85335,42.442574,19.268646,Prčanj
85336,42.442574,19.268646,Perast
85337,42.442574,19.268646,Risan
85338,42.442574,19.268646,Morinj
85339,42.442574,19.268646,Stari grad Kotor
85340,42.442574,19.268646,Herceg Novi
85342,42.442574,19.268646,Kamenari
85343,42.442574,19.268646,Bijela
85344,42.442574,19.268646,Baošići
85345,42.442574,19.268646,Ðenovići
85346,42.442574,19.268646,Zelenika
85347,42.442574,19.268646,Igalo
85348,42.442574,19.268646,Meljine
85360,42.442574,19.268646,Ulcinj
85361,42.442574,19.268646,Velika Plaža
85362,42.442574,19.268646,Ulcinj 2
85366,42.442574,19.268646,Vladimir
85367,42.442574,19.268646,Štoj
85368,42.442574,19.268646,Valdanos
